abundante,	mucho,	escaso
aburrido,	tedioso,	divertido
acabar,	terminar,	iniciar
aceptar,	admitir,	rechazar
acortar,	abreviar,	alargar
actual,	contemporáneo,	anticuado
advertir,	notar,	ignorar
alterado,	nervioso,	tranquilo
altura,	elevación,	depresión
amplificar,	agrandar,	achicar
angustia,	malestar,	alegría
apto,	idóneo,	inepto
armonía,	calma,	caos
barato,	económico,	caro
batalla,	combate,	paz
bonito,	hermoso,	feo
cálido,	caliente,	frío
calmar,	atenuar,	enardecer
centro,	medio,	borde
cerrar,	obstruir,	abrir
claro,	luminoso,	oscuro
cómodo,	confortable,	incómodo
completo,	entero,	incompleto
comprar,	adquirir,	vender
continuar,	seguir,	detener
crear,	inventar,	destruir
desierto,	despoblado,	concurrido
decir,	pronunciar,	callar
demente,	loco,	cuerdo
ebrio,	borracho,	sobrio
economizar,	ahorrar,	derrochar
efecto,	consecuencia,	causa
entrada,	acceso,	salida
extraño,	raro,	común
fácil,	sencillo,	difícil
fallecer,	morir,	nacer
famoso,	célebre,	desconocido
flaco,	delgado,	gordo
grande,	enorme,	pequeño
humildad,	modestia,	soberbia
idéntico,	igual,	diferente
ignorante,	necio,	inteligente
iluminar,	alumbrar,	oscurecer
insolencia,	descaro,	cortesía
insulto,	agravio,	halago
inteligencia,	sabiduría,	estupidez
justicia,	equidad,	injusticia
llano,	liso,	rugoso
llegada,	arribo,	partida
lucha,	pelea,	concordia
magnate,	rico,	pobre
magnífico,	espléndido,	mísero
matrimonio,	boda,	divorcio
mentira,	embuste,	verdad
miedo,	pánico,	valentía
sinónimo,	semejante,	antónimo
nunca,	jamás,	siempre
obediente,	disciplinado,	desobediente
parar,	detener,	seguir
partir,	dividir,	unir
paz,	armonía,	guerra
penumbra,	sombra,	claridad
posible,	factible,	imposible
previo,	anterior,	posterior
querer,	ansiar,	despreciar
reposo,	quietud,	inquietud
saber,	conocer,	ignorar
sumar,	agregar,	restar
tomar,	coger,	soltar
triunfo,	victoria,	derrota
variable,	cambiante,	invariable
volver,	regresar,	partir